🤖  A–Z AI Tools Directory
Complete Guide — Links, Free & Premium Plans

  🟢 Free Tier Available        💰 Paid/Premium        🏢 Enterprise  

🤖  Chat AI

💻  Coding AI

🎨  Image Generation AI

🎬  Video Generation AI

🎤  Voice AI

🌐  Website Builder AI

📱  App Builder AI

⚡  Automation AI

📊  Productivity AI

📚  Education AI

🧠  Research AI

🎵  Music AI

📈  Marketing AI

🛒  Ecommerce AI

🔒  Cybersecurity AI

☁️  Cloud & DevOps AI

🎮  Game Development AI

🧬  Healthcare AI

📄  Resume & Career AI

📹  Meeting Assistant AI


✅ Prices accurate as of 2024-2025 — verify on official websites before subscribing
Tool Name & Link | Pricing | Plan Types | Key Features
Perplexity AI ProPerplexity AI Pro | Free / Pro $20/mo | 🟢 Free 💰 Premium | Real-time research with citations
ConsensusConsensus | Free (limited) / Premium $11.99/mo | 🟢 Free 💰 Premium | Search 200M+ research papers with AI
Semantic ScholarSemantic Scholar | Free | 🟢 Free | AI-powered academic search engine
ElicitElicit | Free / Plus $10/mo | 🟢 Free 💰 Premium | Extract data from papers, literature reviews
Scite.aiScite.ai | Free (limited) / Individual $20/mo | 🟢 Free 💰 Premium | Citation analysis, fact-checking papers
ResearchRabbitResearchRabbit | Free | 🟢 Free | Visual research paper discovery tool
Connected PapersConnected Papers | Free (5/mo) / Academic $3/mo | 🟢 Free 💰 Premium | Visual graph of related research papers
Iris.aiIris.ai | Free (trial) / Professional $29/mo | 🟢 Free 💰 Premium | Research workspace, paper analysis
ScholarcyScholarcy | Free / Personal $9.99/mo / Premium $12.99/mo | 🟢 Free 💰 Premium | Auto-summarize research papers
ExplainpaperExplainpaper | Free / Plus $12/mo | 🟢 Free 💰 Premium | Upload paper, AI explains complex parts
Tool Name & Link | Pricing | Plan Types | Key Features
Suno AISuno AI | Free (50 credits/day) / Pro $10/mo / Premier $30/mo | 🟢 Free 💰 Premium | Full song generation with vocals from text
UdioUdio | Free (1200 credits/mo) / Standard $10/mo / Pro $30/mo | 🟢 Free 💰 Premium | High-quality music + lyrics from text
MubertMubert | Free / Ambassador $14/mo / Artist $39/mo | 🟢 Free 💰 Premium | Royalty-free AI music for content creators
AIVAAIVA | Free (3 downloads) / Standard €11/mo / Pro €33/mo | 🟢 Free 💰 Premium | AI classical/cinematic music composer
SoundrawSoundraw | Creator $16.99/mo / Artist $29.99/mo | 💰 Paid | Customize AI-generated royalty-free music
BoomyBoomy | Free / Personal $9.99/mo / Pro $29.99/mo | 🟢 Free 💰 Premium | Create songs in seconds, publish to Spotify
LoudlyLoudly | Free / Standard $9.99/mo | 🟢 Free 💰 Premium | AI music + stem separation + remixing
Beatoven.aiBeatoven.ai | Free (15 min) / Pro $11.10/mo | 🟢 Free 💰 Premium | Mood-based background music for videos
SplashSplash | Free / Pro $9.99/mo | 🟢 Free 💰 Premium | Rap and beat generation AI tool
RiffusionRiffusion | Free (open source) | 🟢 Free | Stable diffusion for music, real-time generation
Tool Name & Link | Pricing | Plan Types | Key Features
Jasper AIJasper AI | Creator $49/mo / Teams $125/mo / Business custom | 🏢 Enterprise | Long-form marketing content, brand voice
Copy.aiCopy.ai | Free / Pro $49/mo / Team $249/mo | 🟢 Free 💰 Premium | AI copywriting, 90+ templates
WritesonicWritesonic | Free (10k words) / Individual $16/mo / Teams $30/mo | 🟢 Free 💰 Premium | Blog posts, ads, product descriptions
Semrush AISemrush AI | Pro $139.95/mo / Guru $249.95/mo | 💰 Paid | SEO + content marketing + competitor analysis
Surfer SEOSurfer SEO | Essential $89/mo / Scale $129/mo | 💰 Paid | AI content optimization for SEO rankings
AdCreative.aiAdCreative.ai | Starter $21/mo / Professional $141/mo | 💰 Paid | AI-generated ad creatives, A/B testing
PhraseePhrasee | Enterprise pricing | 🏢 Enterprise | AI marketing language optimization
PersadoPersado | Enterprise pricing | 🏢 Enterprise | AI emotional language for marketing
Mailchimp AIMailchimp AI | Free / Essentials $13/mo / Standard $20/mo | 🟢 Free 💰 Premium | AI email subject lines, send time, content
HubSpot AIHubSpot AI | Free CRM / Starter $20/mo / Pro $890/mo | 🟢 Free 💰 Premium | AI across CRM, marketing, sales, service
Tool Name & Link | Pricing | Plan Types | Key Features
Shopify MagicShopify Magic | Basic $39/mo / Shopify $105/mo / Advanced $399/mo | 💰 Paid | AI product descriptions, image editing, analytics
BigCommerce AIBigCommerce AI | Standard $39/mo / Plus $105/mo / Pro $399/mo | 💰 Paid | AI-powered merchandising + content
Tidio AI (Lyro)Tidio AI (Lyro) | Free / Starter $29/mo / Growth $59/mo | 🟢 Free 💰 Premium | AI chatbot for customer support + sales
Octane AIOctane AI | Octane $50/mo / Pro $200/mo | 💰 Paid | Shopify quiz funnels + personalization AI
VisenzeVisenze | Enterprise pricing | 🏢 Enterprise | Visual search + AI product recommendations
Clerk.ioClerk.io | Starter €69/mo / Pro €199/mo | 💰 Paid | AI product recommendations for ecommerce
Vue.aiVue.ai | Enterprise pricing | 🏢 Enterprise | Retail AI: tagging, recommendations, styling
SearchieSearchie | Basic $97/mo / Pro $197/mo | 💰 Paid | AI-powered content hub for course creators
RecombeeRecombee | Free (tier) / Starter $49/mo / Business custom | 🟢 Free 🏢 Enterprise | AI recommendation engine for ecommerce
ChatBot by LiveChatChatBot by LiveChat | Starter $52/mo / Team $142/mo | 💰 Paid | AI chatbot for sales + support automation
Tool Name & Link | Pricing | Plan Types | Key Features
DarktraceDarktrace | Enterprise pricing | 🏢 Enterprise | AI threat detection, autonomous response
CrowdStrike FalconCrowdStrike Falcon | Falcon Go $299.99/yr / Pro/Enterprise custom | 🏢 Enterprise | AI endpoint detection and response (EDR)
SentinelOneSentinelOne | Singularity Core $69.99/endpoint/yr | 💰 Paid | Autonomous AI cybersecurity platform
Vectra AIVectra AI | Enterprise pricing | 🏢 Enterprise | AI network detection and response (NDR)
CybereasonCybereason | Enterprise pricing | 🏢 Enterprise | AI-powered XDR platform
Recorded FutureRecorded Future | Enterprise pricing | 🏢 Enterprise | AI threat intelligence platform
VirusTotalVirusTotal | Free / Premium $10,200/yr | 🟢 Free 💰 Premium | AI-powered malware scanning + analysis
SnykSnyk | Free / Team $25/mo / Business $67/mo | 🟢 Free 💰 Premium | AI code security, finds vulnerabilities
Palo Alto Cortex XSOARPalo Alto Cortex XSOAR | Enterprise pricing | 🏢 Enterprise | AI security orchestration and response
IBM QRadarIBM QRadar | Enterprise pricing | 🏢 Enterprise | AI SIEM + threat intelligence
Tool Name & Link | Pricing | Plan Types | Key Features
AWS CodeGuruAWS CodeGuru | Pay-per-use (~$0.50/100 lines analyzed) | 💰 Paid | AI code reviews + performance profiling
Google Cloud AI PlatformGoogle Cloud AI Platform | Pay-as-you-go | 💰 Paid | Vertex AI, AutoML, MLOps on GCP
Azure AI ServicesAzure AI Services | Pay-as-you-go | 💰 Paid | Vision, speech, language, decision APIs
Harness AIHarness AI | Free / Team $25/mo / Business $100/mo | 🟢 Free 💰 Premium | AI-powered CI/CD, feature flags, chaos eng.
Datadog AIDatadog AI | Free / Pro $15/host/mo / Enterprise $23/host/mo | 🟢 Free 🏢 Enterprise | AI anomaly detection, observability
New Relic AINew Relic AI | Free (100GB/mo) / Standard $49/user/mo | 🟢 Free 💰 Premium | AI-powered full-stack observability
DynatraceDynatrace | Infra Monitoring $0.04/hr | 💰 Paid | AI-driven observability + AIOps
PagerDuty AIPagerDuty AI | Free / Professional $21/user/mo | 🟢 Free 💰 Premium | AIOps, intelligent alert grouping
MoogsoftMoogsoft | Enterprise pricing | 🏢 Enterprise | AIOps noise reduction + incident correlation
Pulumi AIPulumi AI | Free / Team $50/mo / Enterprise custom | 🟢 Free 🏢 Enterprise | AI infrastructure-as-code generation
Tool Name & Link | Pricing | Plan Types | Key Features
Unity MuseUnity Muse | $30/mo / included in Unity Pro | 💰 Paid | AI sprite gen, animation, chat in Unity editor
Scenario.ggScenario.gg | Free (100 credits) / Starter $15/mo / Explorer $50/mo | 🟢 Free 💰 Premium | AI game asset generator, consistent art style
Ludo AILudo AI | Free (limited) / Indie $14.99/mo / Studio $119/mo | 🟢 Free 💰 Premium | Game concept ideation + market analysis AI
Promethean AIPromethean AI | Free (limited) / Pro $15/mo | 🟢 Free 💰 Premium | AI world-building assistant for 3D scenes
Inworld AIInworld AI | Free (limited) / Custom pricing | 🟢 Free 🏢 Enterprise | AI characters / NPCs with personality + memory
ConvaiConvai | Free / Pro $25/mo / Business custom | 🟢 Free 🏢 Enterprise | Conversational AI for game NPCs
Leonardo AI (Game Assets)Leonardo AI (Game Assets) | Free (150 tokens/day) / Apprentice $10/mo | 🟢 Free 💰 Premium | AI concept art and game texture generation
Meshy AIMeshy AI | Free (200 credits) / Pro $20/mo | 🟢 Free 💰 Premium | Text/image to 3D model generation
KaedimKaedim | Custom pricing | 🏢 Enterprise | Convert 2D art to 3D models for games
DidimoDidimo | Free (trial) / Standard €299/mo | 🟢 Free 💰 Premium | Photorealistic AI avatar generation for games
Tool Name & Link | Pricing | Plan Types | Key Features
IBM Watson HealthIBM Watson Health | Enterprise pricing | 🏢 Enterprise | Clinical decision support, data analytics
Tempus AITempus AI | B2B / institutional pricing | 💰 Paid | AI genomics + precision medicine
Babylon HealthBabylon Health | B2B / NHS integrated | 💰 Paid | AI symptom checker + virtual consultations
Ada HealthAda Health | Free (app) / API B2B pricing | 🟢 Free | AI medical symptom assessment app
Viz.aiViz.ai | Hospital/enterprise pricing | 🏢 Enterprise | AI stroke & cardiac detection from CT scans
EnliticEnlitic | Enterprise pricing | 🏢 Enterprise | AI radiology: X-ray, CT, MRI analysis
AidocAidoc | Hospital pricing | 💰 Paid | AI radiology workflow, 20+ conditions detected
InfermedicaInfermedica | API pricing / custom | 🏢 Enterprise | AI triage, symptom checker API
DeepScribeDeepScribe | Custom physician pricing | 🏢 Enterprise | AI medical documentation from conversations
Nuance Dragon MedicalNuance Dragon Medical | Enterprise / per-physician pricing | 🏢 Enterprise | AI medical speech recognition, note-taking
Tool Name & Link | Pricing | Plan Types | Key Features
Resume.ioResume.io | Free / Premium $2.95/wk or $44.95/yr | 🟢 Free 💰 Premium | AI resume builder, ATS-optimized templates
KickresumeKickresume | Free / Premium $19/mo | 🟢 Free 💰 Premium | AI resume + cover letter + website builder
EnhancvEnhancv | Free / Monthly $24.99 / Quarterly $14.99/mo | 🟢 Free 💰 Premium | AI resume builder + career coaching
Rezi AIRezi AI | Free / Pro $29/mo | 🟢 Free 💰 Premium | ATS-optimized AI resume builder
Teal HQTeal HQ | Free / Pro $29/mo | 🟢 Free 💰 Premium | Job tracker + AI resume tailoring
JobscanJobscan | Free (limited) / Premium $49.95/mo | 🟢 Free 💰 Premium | Resume-to-job description ATS match score
LinkedIn AILinkedIn AI | Free / Premium $39.99/mo | 🟢 Free 💰 Premium | AI profile optimization, job suggestions
SkillSyncerSkillSyncer | Free (3/mo) / Basic $11.95/mo | 🟢 Free 💰 Premium | AI resume keyword optimization
Interview Warmup (Google)Interview Warmup (Google) | Free | 🟢 Free | AI mock interview practice by Google
YoodliYoodli | Free / Individual $25/mo / Team $100/mo | 🟢 Free 💰 Premium | AI communication coach, interview practice
Tool Name & Link | Pricing | Plan Types | Key Features
Otter.aiOtter.ai | Free / Pro $16.99/mo / Business $30/mo | 🟢 Free 💰 Premium | Live transcription + AI meeting summaries
Fireflies.aiFireflies.ai | Free / Pro $18/mo / Business $29/mo | 🟢 Free 💰 Premium | Record, transcribe, search all meetings
FathomFathom | Free / Premium $19/mo / Team $29/mo | 🟢 Free 💰 Premium | Zoom/Meet/Teams AI notetaker, highlights
Notion AI Meeting NotesNotion AI Meeting Notes | AI add-on $10/mo | 💰 Paid | Transcribe + summarize into Notion pages
Zoom AI CompanionZoom AI Companion | Included in paid Zoom plans from $14.99/mo | 💰 Paid | Real-time AI summaries, chat compose
Microsoft Copilot for TeamsMicrosoft Copilot for Teams | Microsoft 365 Copilot $30/user/mo | 💰 Paid | AI meeting recap, action items, insights
Sembly AISembly AI | Free / Professional $15/mo / Team $20/mo | 🟢 Free 💰 Premium | Meeting transcription + smart topics + tasks
tl;dvtl;dv | Free / Pro €18/mo / Business €59/mo | 🟢 Free 💰 Premium | Record + clip meetings, AI highlights
GrainGrain | Free / Starter $19/mo / Business $39/mo | 🟢 Free 💰 Premium | Meeting recording + AI coaching insights
AvomaAvoma | Starter $19/mo / Plus $49/mo / Business $79/mo | 💰 Paid | AI meeting assistant + revenue intelligence
